Unnamed: 0,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein
70,crispy chicken sandwich,350,17.6,33.2,3.9,14.8
71,enchilada with cheese,374,25.3,21.2,3.6,15.4
72,pork egg roll,189,6.1,25.1,4.5,8.4
73,corn on the cob with butter,155,3.4,31.9,0,4.5
74,pancakes with butter syrup,260,7,45.4,0,4.1
75,burrito with beans,224,6.7,35.7,0,7
76,scrambled eggs,100,7.6,1,0.8,6.5
77,baked potato with sour cream,393,22.3,50,0,6.7
78,turkey and gravy,161,6.3,11.1,0,14.1
79,chicken egg roll,158,3.6,22.8,4.5,8.4
80,vegetable egg roll,153,3.6,25,5.3,5.2
81,ham cheese roll,67,5.2,1.1,0,3.8
82,biscuit with ham,386,18.4,43.8,2.2,13.4
83,lemon chicken,1440,74.9,122,55.2,68.6
84,hummus,435,21.1,49.5,0.7,12
85,croissant with egg cheese,368,24.7,24.3,0,12.8
86,enchirito with cheese beef beans,344,16.1,33.8,0,17.9
87,sweet sour pork,38,2.2,3.3,1.4,1.2
88,crab cake,160,10.4,5.1,0,11.3
89,egg dinner roll,107,2.2,18.2,1.5,3.3
90,english muffin with egg cheese sausage,472,29.9,28.8,2.5,22.1
91,buttermilk pancakes,86,3.5,10.9,0,2.6
92,omelet,94,7.1,0.4,0.2,6.4
93,taco with chicken cheese lettuce,185,6.2,19.3,1.3,13
94,spinach souffle,230,17.6,8,2.5,10.7
95,english muffin with cheese sausage,365,22.3,27.3,2.1,14.3
96,potato gratin,328,18.6,27.6,0,12.4
97,biscuit with egg,436,25.3,35.4,2.5,17.4
98,french fries deep fried,222,10.5,29.4,0.2,2.4
99,sweet sour chicken,46,2.3,4.4,2.1,1.8
100,burrito with beans beef,460,18,47,5.3,27.8
101,nachos with cinnamon sugar,592,36,63.4,0,7.2
102,arroz con grandules,209,5.7,35.4,0,4
103,chili con carne,271,8.8,33.1,4.7,14.7
104,arroz con abichuelas,223,5.4,37.3,0.2,6.2
105,biscuit with sausage,412,27.1,33.3,1.8,10.7
106,vegetarian stew,304,7.4,17.3,3.1,42
107,chicken sandwich with cheese,632,38.8,41.6,0,29.4
108,biscuit with egg steak,410,28.4,21.3,0,17.9
109,taco salad,212,11.2,17.9,0,10
110,succotash,213,1.5,46.8,0,9.7
111,nachos with cheese jalapeno peppers,608,34.1,60.1,0,16.8
112,biscuit with egg ham,442,27,31.4,4.2,20.4
113,ladyfingers,103,2.6,16.9,7.2,3
114,mozzarella steak fried,102,5.9,7.7,0.7,4.6
115,tamale navajo,285,11.4,33.7,1.8,11.7
116,blueberry pancakes,84,3.5,11,0,2.3
117,chimichanga with beef cheese,443,23.4,39.3,0,20.1
118,egg cheese sandwich,340,19.4,25.9,0,15.6
119,biscuit with egg bacon,458,31.1,28.6,3.3,17
120,pupusas con queso,300,15.5,26.2,1.4,13.7
121,apple croissant,145,5,21.1,0,4.2
122,refried red beans,336,16.1,36,0,11.7
123,tostada with guacamole,180,11.6,16,0,6.2
124,chicken sandwich,468,20.9,39.1,6.8,30.4
125,fried rice,228,3.2,43.4,0.6,6.5
126,pupusas del cerdo,283,12.7,28.1,1.8,14
127,turkey pot pie,699,34.9,70.3,0,25.8
128,cheese croissant,331,16.7,37.6,9.1,7.4
129,chimichanga with beef,425,19.7,42.8,0,19.6
130,french toast with butter,178,9.4,18,0,5.2
131,ham egg cheese sandwich,347,16.3,30.9,0,19.2
132,english muffin with butter,189,5.8,30.4,0,4.9
133,savoury noodle one pan dinner tandaco,172,1.2,5.5,0,0
134,ham cheese sandwich,352,15.5,33.3,0,20.7
135,sweet gefilte fish,35,0.7,3.1,0,3.8
136,poached egg,72,4.7,0.4,0.2,6.3
137,tostada with beef cheese,315,16.3,22.8,0,19
138,tostada with beans cheese,223,9.9,26.5,0,9.6
139,pork tamale,247,12.8,22.4,0.7,10.4
140,nachos with cheese,274,17.2,27.9,1.7,3.5
141,pulled pork in barbecue sauce,418,11,46.7,37.8,32.8
142,baked potato with cheese sauce,474,28.7,46.5,0,14.6
143,baked beans,310,10.3,43.3,0,11.1
144,arroz con frijoles,220,5.6,35.6,1.3,6.8
145,taco with beef cheese lettuce,156,8.8,13.7,0.6,6.1
146,burrito with beans cheese beef,165,6.6,19.8,0,7.3
147,egg mix,30,2.2,0.098,0.091,2.4
148,falafel,57,3,5.4,0,2.3
149,taco salad with chili con carne,193,8.8,17.7,0,11.6
150,wonton wrappers,93,0.5,18.5,0,3.1
151,hushpuppies,512,20.5,69.9,3.1,11.7
152,chicken pot pie,598,34.6,57.3,7.2,14.6
153,general tsos chicken,1578,87.5,128.3,62.1,69
154,burrito with beans cheese,379,11.2,57.8,3.2,13.6
155,vegetarian fillets,247,15.3,7.7,0.7,19.6
156,biscuit with egg sausage,505,33.6,34.1,1.5,18
157,chicken chow mein,513,16.9,50.1,10.5,40.8
158,fruit burrito,231,9.5,35,0,2.5
159,arroz con leche,369,9.3,63,38.6,8.1
160,caramel custard flan,444,12.3,69.7,70.8,13.9
161,gelatin dessert,167,0,38.3,36.4,3.3
162,chocolate milk dessert,229,1.4,51.6,51.6,5.9
163,chocolate mousse,338,24,24.1,22.2,6.2
164,dulce de leche,60,1.4,10.5,9.5,1.3
